fecha,empresa,operacion,campo,GOV,GSV,NSV
01-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,258.81,253.56,253.37
01-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CHIRICOCA,232.33,226.89,226.7
01-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,492.96000000000004,483.83,483.25
01-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,12754.165500000001,12215.9385,12179.9025
01-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,258.81,253.56,253.37
01-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,4105.812404174927,3928.852540091656,3916.240000000005
01-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,15588.424500000001,14930.5915,14886.547500000002
01-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,232.33,226.89,226.7
01-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,256.79999999999995,250.37,250.2
01-02-2022,PAREX,DESPACHO POR REMITENTE,GUACO,248.28,245.35,245.04
01-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13629.287595825072,13041.867459908344,12999.999999999996
01-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,12371.118679178899,12187.282288782862,12154.008219094487
01-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,257.34773654744424,253.5235165888162,252.8313393700787
01-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,3977.722302468975,3918.612845268922,3907.914135433075
01-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,15120.256163440878,14895.567241845723,14854.898934448818
01-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,230.25903569998658,226.83735726678228,226.21803937007869
01-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,254.12796970505798,250.3515958894968,249.6680787401574
01-02-2022,PAREX,ENTREGA POR REMITENTE,GUACO,248.88696121713593,245.188469451488,244.51904881889757
01-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13204.09115174162,13007.876684905907,12972.362204724404
02-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,224.34,219.25,219.1
02-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CHIRICOCA,190.95,187.26,187.13
02-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,251.5,247.34,246.72
02-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,GUACO,245.27,242.23,241.88
02-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,10006.776,9583.488,9548.028
02-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,3896.1453054699755,3727.442155463471,3716.968267547788
02-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,12230.504,11713.152,11669.812000000002
02-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,103.65000000000009,101.38,101.46000000000004
02-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,561.04,551.12,550.28
02-02-2022,PAREX,DESPACHO POR REMITENTE,GUACO,245.27,242.23,241.88
02-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,12683.294694530023,12134.107844536527,12100.011732452213
02-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,9702.821669795012,9565.825873564007,9546.308629753294
02-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,3777.228161909779,3723.8968324061266,3716.298930942661
02-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,11859.004263082796,11691.564956578231,11667.710547476248
02-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,103.104880569831,101.6491251525241,101.44172949375195
02-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,559.2011992900314,551.305742055302,550.1809078042755
02-02-2022,PAREX,ENTREGA POR REMITENTE,GUACO,245.8013849027273,242.33087317063394,241.83644322835318
02-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,12296.178440449821,12122.566597073177,12097.832811301418
03-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,249.55,243.87,243.65
03-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,AZOGUE,496.28999999999996,489.69000000000005,489.27
03-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CAPACHOS,245.7,238.76,238.36
03-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,14486.158000000001,13866.146999999999,13835.505500000001
03-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,224.34,219.25,219.1
03-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,5302.286467582169,5076.40881971662,5060.9270000133965
03-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,17882.482,17117.113,17079.2845
03-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,87.31,85.89,85.66999999999996
03-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,428.35,421.93000000000006,422.01
03-02-2022,PAREX,DESPACHO POR REMITENTE,CAPACHOS,245.7,238.76,238.36
03-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13619.99353241783,13039.781180283378,13000.012999986602
03-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,14061.463017278134,13850.06106258772,13824.022285891497
03-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,222.67827851216848,219.33050287269728,218.91815104542633
03-02-2022,GEOPARK,ENTREGA POR REMITENTE,TIGANA ESTACION,5143.580611769678,5066.251318644224,5056.726524047508
03-02-2022,PAREX,ENTREGA POR REMITENTE,JACANA ESTACION,17358.218487811788,17097.252661300157,17065.1090092141
03-02-2022,PAREX,ENTREGA POR REMITENTE,CHIRICOCA,87.06913792851422,85.76012862210848,85.59889548179673
03-02-2022,PAREX,ENTREGA POR REMITENTE,AZOGUE,428.9021465765414,422.453973150648,421.6597394919231
03-02-2022,PAREX,ENTREGA POR REMITENTE,CAPACHOS,242.25282732159053,238.61076524297638,238.16216560103982
03-02-2022,PAREX,ENTREGA POR REMITENTE,TIGANA ESTACION,13212.325492801587,13013.689587579476,12989.223229226713
04-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,CHIRICOCA,242.6,237.3,237.13
04-02-2022,GEOPARK,RECIBO POR REMITENTE TIGANA,AZOGUE,243.03,238.74,238.4
04-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CHIRICOCA,241.1,236.12,235.91
04-02-2022,PAREX,RECIBO POR REMITENTE TIGANA,CAPACHOS,245.42,238.49,238.17
04-02-2022,GEOPARK,DESPACHO POR REMITENTE,JACANA ESTACION,11517.7095,11029.185,11004.813
04-02-2022,GEOPARK,DESPACHO POR REMITENTE,CHIRICOCA,428.42,418.35,417.86
04-02-2022,GEOPARK,DESPACHO POR REMITENTE,TIGANA ESTACION,4427.719391417697,4235.113487561517,4222.577603419652
04-02-2022,PAREX,DESPACHO POR REMITENTE,JACANA ESTACION,14077.2005,13480.115,13450.327000000001
04-02-2022,PAREX,DESPACHO POR REMITENTE,CHIRICOCA,241.1,236.12,235.91
04-02-2022,PAREX,DESPACHO POR REMITENTE,AZOGUE,67.94,67.74999999999999,67.25999999999999
04-02-2022,PAREX,DESPACHO POR REMITENTE,CAPACHOS,245.42,238.49,238.17
04-02-2022,PAREX,DESPACHO POR REMITENTE,TIGANA ESTACION,13631.580608582302,13038.606512438484,13000.012396580349
04-02-2022,GEOPARK,ENTREGA POR REMITENTE,JACANA ESTACION,11172.000638058133,11008.968493589711,10980.342046755242
04-02-2022,GEOPARK,ENTREGA POR REMITENTE,CHIRICOCA,424.2082247666517,418.01778682939874,416.93082178290035
